,draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,roster_id,round,first_name,injury_status,last_name,news_updated,number,position,sport,status,team
20,863912024172847105,8,,21,605254631701970944,4988,13,2,Nick,InjuryStatus.NA,Chubb,1661659260748,24,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CLE
21,863912024172847105,7,,22,869626839986032640,7588,8,2,Javonte,InjuryStatus.NA,Williams,1661194808442,33,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DEN
22,863912024172847105,6,,23,605445447401689088,2216,6,2,Mike,InjuryStatus.NA,Evans,1661656260585,13,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.TB
23,863912024172847105,5,,24,618292946139164672,3969,12,2,Leonard,InjuryStatus.NA,Fournette,1661655360694,7,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.TB
24,863912024172847105,4,,25,340485204214874112,5872,1,2,Deebo,InjuryStatus.QUESTIONABLE,Samuel,1662098446099,19,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.SF
25,863912024172847105,3,,26,605249638039109632,3164,5,2,Ezekiel,InjuryStatus.NA,Elliott,1661060420688,21,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DAL
26,863912024172847105,2,,27,605279643485933568,5859,9,2,A.J.,InjuryStatus.NA,Brown,1662223822610,11,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.PHI
27,863912024172847105,1,,28,455204806886158336,4984,14,2,Josh,InjuryStatus.NA,Allen,1661568615075,17,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BUF
28,863912024172847105,1,,29,455204806886158336,1479,14,3,Keenan,InjuryStatus.NA,Allen,1661740848041,13,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LAC
29,863912024172847105,2,,30,605279643485933568,4217,9,3,George,InjuryStatus.NA,Kittle,1661492403953,85,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.SF
30,863912024172847105,3,,31,605249638039109632,4046,5,3,Patrick,InjuryStatus.NA,Mahomes,1661044517837,15,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.KC
31,863912024172847105,4,,32,340485204214874112,4137,1,3,James,InjuryStatus.NA,Conner,1661653560916,6,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.ARI
32,863912024172847105,5,,33,618292946139164672,6801,12,3,Tee,InjuryStatus.QUESTIONABLE,Higgins,1661969453862,85,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CIN
33,863912024172847105,6,,34,605445447401689088,5892,6,3,David,InjuryStatus.NA,Montgomery,1661720744091,32,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CHI
34,863912024172847105,7,,35,869626839986032640,6797,8,3,Justin,InjuryStatus.NA,Herbert,1661913654202,10,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LAC
35,863912024172847105,8,,36,605254631701970944,6938,13,3,Cam,InjuryStatus.NA,Akers,1662154815586,3,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LAR
36,863912024172847105,9,,37,605176209256583168,4983,3,3,DJ,InjuryStatus.NA,Moore,1661571314651,2,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CAR
