,adds,consenter_ids,created,creator,draft_picks,drops,roster_ids,settings,status,status_updated,transaction_id,type,waiver_budget,leg,metadata
48,{'4958': 8},[8],1664336829707,869626839986032640,[],,[8],"TransactionSettings(seq=3, waiver_bid=1)",TransactionStatus.COMPLETE,1664348707363,880696131976544256,TransactionType.WAIVER,[],3,{'notes': 'Your waiver claim was processed successfully!'}
49,{'5133': 4},[4],1664303722229,605180610515898368,[],{'7090': 4},[4],"TransactionSettings(seq=0, waiver_bid=15)",TransactionStatus.COMPLETE,1664348707363,880557269149052928,TransactionType.WAIVER,[],3,{'notes': 'Your waiver claim was processed successfully!'}
50,{'8121': 4},[4],1664303698366,605180610515898368,[],{'7090': 4},[4],"TransactionSettings(seq=5, waiver_bid=0)",TransactionStatus.FAILED,1664348707363,880557169060339712,TransactionType.WAIVER,[],3,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}"
51,{'4958': 3},[3],1664297318456,605176209256583168,[],{'3678': 3},[3],"TransactionSettings(seq=7, waiver_bid=0)",TransactionStatus.FAILED,1664348707363,880530409778290688,TransactionType.WAIVER,[],3,{'notes': 'This player was claimed by another owner.'}
52,{'8121': 3},[3],1664297249211,605176209256583168,[],,[3],"TransactionSettings(seq=6, waiver_bid=0)",TransactionStatus.FAILED,1664348707363,880530119343742976,TransactionType.WAIVER,[],3,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}"
53,{'4177': 3},[3],1664297242701,605176209256583168,[],,[3],"TransactionSettings(seq=1, waiver_bid=11)",TransactionStatus.COMPLETE,1664348707363,880530092038733824,TransactionType.WAIVER,[],3,{'notes': 'Your waiver claim was processed successfully!'}
54,,[8],1664282611968,869626839986032640,[],{'7617': 8},[8],,TransactionStatus.COMPLETE,1664282611968,880468726296940544,TransactionType.FREE_AGENT,[],3,
55,,[11],1664276003392,605266609971470336,[],{'7527': 11},[11],,TransactionStatus.COMPLETE,1664276003392,880441007920275456,TransactionType.FREE_AGENT,[],3,
56,{'5133': 14},[14],1664220297110,455204806886158336,[],{'3423': 14},[14],"TransactionSettings(seq=4, waiver_bid=0)",TransactionStatus.FAILED,1664348707363,880207358838861824,TransactionType.WAIVER,[],3,{'notes': 'This player was claimed by another owner.'}
57,{'4177': 14},[14],1664220226625,455204806886158336,[],{'8228': 14},[14],"TransactionSettings(seq=2, waiver_bid=11)",TransactionStatus.FAILED,1664348707363,880207063203463168,TransactionType.WAIVER,[],3,{'notes': 'This player was claimed by another owner.'}
58,{'7617': 8},[8],1664124175865,869626839986032640,[],,[8],,TransactionStatus.COMPLETE,1664124175865,879804197116747776,TransactionType.FREE_AGENT,[],3,
59,{'5272': 8},[8],1664121068836,869626839986032640,[],{'49': 8},[8],,TransactionStatus.COMPLETE,1664121068836,879791165292285952,TransactionType.FREE_AGENT,[],3,
60,,[3],1664115183048,605176209256583168,[],{'1837': 3},[3],,TransactionStatus.COMPLETE,1664115183048,879766478508380160,TransactionType.FREE_AGENT,[],3,
61,{'5917': 2},[2],1664066438681,605175435638145024,[],,[2],,TransactionStatus.COMPLETE,1664066438681,879562029814444032,TransactionType.FREE_AGENT,[],3,
62,,[2],1663874855749,605175435638145024,[],{'DEN': 2},[2],,TransactionStatus.COMPLETE,1663874855749,878758472756613120,TransactionType.FREE_AGENT,[],3,
63,{'6126': 11},[11],1663809110836,605266609971470336,[],{'2161': 11},[11],,TransactionStatus.COMPLETE,1663809110836,878482718604845056,TransactionType.FREE_AGENT,[],3,
64,{'CIN': 14},[14],1663764742850,455204806886158336,[],{'IND': 14},[14],"TransactionSettings(seq=0, waiver_bid=0)",TransactionStatus.COMPLETE,1663913097994,878296625783689216,TransactionType.WAIVER,[],3,{'notes': 'Your waiver claim was processed successfully!'}
65,,[8],1663762610361,869626839986032640,[],{'6824': 8},[8],,TransactionStatus.COMPLETE,1663762610361,878287681476591616,TransactionType.FREE_AGENT,[],3,
66,{'1476': 2},[2],1664935890130,605175435638145024,[],{'5917': 2},[2],"TransactionSettings(seq=1, waiver_bid=12)",TransactionStatus.COMPLETE,1664953523700,883208773504983040,TransactionType.WAIVER,[],4,{'notes': 'Your waiver claim was processed successfully!'}
67,,[2],1664935839968,605175435638145024,[],{'8126': 2},[2],,TransactionStatus.COMPLETE,1664935839968,883208563110162432,TransactionType.FREE_AGENT,[],4,
68,{'4381': 14},[14],1664935041780,455204806886158336,[],{'4993': 14},[14],"TransactionSettings(seq=7, waiver_bid=0)",TransactionStatus.COMPLETE,1664953523700,883205215262916608,TransactionType.WAIVER,[],4,{'notes': 'Your waiver claim was processed successfully!'}
69,{'JAX': 14},[14],1664934974384,455204806886158336,[],{'CIN': 14},[14],"TransactionSettings(seq=6, waiver_bid=0)",TransactionStatus.FAILED,1664953523700,883204932587859968,TransactionType.WAIVER,[],4,{'notes': 'This player was claimed by another owner.'}
