,custom_points,matchup_id,players,players_points,points,roster_id,starters,starters_points,week
50,,6,"['LAC', '96', '6955', '6886', '6820', '5859', '4973', '4227', '4217', '4195', '4034', '2749', '1992', '1426', '1373']","{'LAC': 9.0, '96': 17.14, '6955': 1.9, '6886': 0.0, '6820': 21.9, '5859': 12.0, '4973': 10.2, '4227': 0.0, '4217': 3.4, '4195': 4.0, '4034': 21.3, '2749': 9.1, '1992': 1.7, '1426': 0.0, '1373': 31.7}",92.34,9,"['96', '4034', '6820', '5859', '1992', '4217', '6955', '4195', 'LAC']","[17.14, 21.3, 21.9, 12.0, 1.7, 3.4, 1.9, 4.0, 9.0]",4
51,,6,"['CLE', '8155', '8146', '8132', '7839', '7564', '6943', '6843', '6786', '5927', '5844', '4985', '421', '4017']","{'CLE': 3.0, '8155': 14.8, '8146': 5.1, '8132': 10.9, '7839': 11.0, '7564': 10.1, '6943': 1.8, '6843': 0.0, '6786': 18.7, '5927': 2.5, '5844': 35.9, '4985': 28.2, '421': 6.76, '4017': 0.0}",133.56,10,"['421', '8155', '4985', '7564', '6786', '5844', '8146', '7839', 'CLE']","[6.76, 14.8, 28.2, 10.1, 18.7, 35.9, 5.1, 11.0, 3.0]",4
52,,1,"['GB', '7611', '7567', '6803', '650', '6126', '5850', '5001', '4018', '3321', '3242', '2309', '167']","{'GB': 8.0, '7611': 10.9, '7567': 8.2, '6803': 5.7, '650': 6.0, '6126': 3.8, '5850': 32.0, '5001': 0.0, '4018': 15.4, '3321': 20.9, '3242': 0.0, '2309': 1.4, '167': 24.4}",113.8,11,"['167', '4018', '5850', '3321', '2309', '5001', '6803', '650', 'GB']","[24.4, 15.4, 32.0, 20.9, 1.4, 0.0, 5.7, 6.0, 8.0]",4
53,,4,"['LAR', '7670', '7591', '7042', '6801', '6770', '5967', '4098', '4033', '4029', '3969', '2505', '2374', '2319']","{'LAR': 2.0, '7670': 3.0, '7591': 9.16, '7042': 11.0, '6801': 21.9, '6770': 20.08, '5967': 1.3, '4098': 7.8, '4033': 6.2, '4029': 9.6, '3969': 14.9, '2505': 3.9, '2374': 9.1, '2319': 9.4}",96.88,12,"['6770', '3969', '4098', '6801', '2374', '2505', '4033', '7042', 'LAR']","[20.08, 14.9, 7.8, 21.9, 9.1, 3.9, 6.2, 11.0, 2.0]",4
54,,7,"['SF', '8151', '8135', '7608', '6945', '6938', '6826', '5947', '5095', '4988', '4039', '3271', '1689', '1234']","{'SF': 22.0, '8151': 2.9, '8135': 2.8, '7608': 10.6, '6945': 7.8, '6938': 1.3, '6826': 3.1, '5947': 0.0, '5095': 13.0, '4988': 19.7, '4039': 19.2, '3271': 12.3, '1689': 11.2, '1234': 26.98}",142.78,13,"['1234', '4988', '7608', '4039', '1689', '3271', '6945', '5095', 'SF']","[26.98, 19.7, 10.6, 19.2, 11.2, 12.3, 7.8, 13.0, 22.0]",4
55,,5,"['CIN', '8148', '8121', '7571', '7561', '7547', '6813', '5987', '5284', '5038', '4993', '4984', '4171', '1479', '1352', '1348']","{'CIN': 8.0, '8148': 0.0, '8121': 10.2, '7571': 3.2, '7561': 0.0, '7547': 0.0, '6813': 1.8, '5987': 8.3, '5284': 13.4, '5038': 9.4, '4993': 3.3, '4984': 23.52, '4171': 17.6, '1479': 0.0, '1352': 11.0, '1348': 10.0}",89.12,14,"['4984', '6813', '5284', '4171', '7571', '4993', '5987', '1348', 'CIN']","[23.52, 1.8, 13.4, 17.6, 3.2, 3.3, 8.3, 10.0, 8.0]",4
56,,4,"['JAX', '7741', '6659', '6083', '5872', '5849', '5022', '4950', '4663', '4137', '4082', '3664', '2197', '1387']","{'JAX': 5.0, '7741': 3.4, '6659': 10.7, '6083': 3.0, '5872': 10.2, '5849': 17.2, '5022': 13.5, '4950': 1.6, '4663': 33.9, '4137': 6.8, '4082': 9.2, '3664': 6.2, '2197': 4.0, '1387': 3.8}",100.4,1,"['5849', '4663', '4137', '4082', '4950', '5022', '5872', '6083', 'JAX']","[17.2, 33.9, 6.8, 9.2, 1.6, 13.5, 10.2, 3.0, 5.0]",5
57,,4,"['DAL', '8121', '8119', '7600', '7543', '6904', '5955', '5937', '5890', '5347', '4866', '4602', '4080', '391', '2449', '1476']","{'DAL': 25.0, '8121': 4.4, '8119': 0.0, '7600': 2.2, '7543': 12.9, '6904': 27.66, '5955': 4.5, '5937': 8.5, '5890': 1.7, '5347': 1.3, '4866': 18.1, '4602': 4.3, '4080': 2.7, '391': 8.0, '2449': 20.2, '1476': 0.0}",112.66,2,"['6904', '4866', '5347', '2449', '5937', '7600', '5890', '391', 'DAL']","[27.66, 18.1, 1.3, 20.2, 8.5, 2.2, 1.7, 8.0, 25.0]",5
58,,2,"['NE', 'MIN', '8129', '7607', '7525', '7523', '6806', '6790', '6130', '503', '5012', '4983', '4177', '4040', '2161']","{'NE': 23.0, 'MIN': 6.0, '8129': 18.8, '7607': 16.3, '7525': 13.7, '7523': 12.34, '6806': 4.4, '6790': 0.0, '6130': 5.1, '503': 10.0, '5012': 18.9, '4983': 8.7, '4177': 0.0, '4040': 4.8, '2161': 8.2}",94.04,3,"['7523', '8129', '6806', '7525', '4040', '5012', '6130', '503', 'MIN']","[12.34, 18.8, 4.4, 13.7, 4.8, 18.9, 5.1, 10.0, 6.0]",5
59,,6,"['TB', '8112', '7553', '6828', '5230', '5133', '5110', '4199', '4149', '4068', '3225', '3163', '3161', '2133']","{'TB': 7.0, '8112': 5.5, '7553': 0.0, '6828': 3.4, '5230': 0.0, '5133': 0.0, '5110': 5.0, '4199': 9.0, '4149': 5.6, '4068': 18.4, '3225': 4.7, '3163': 5.86, '3161': 19.86, '2133': 24.9}",88.16,4,"['3161', '4199', '4149', '2133', '4068', '5133', '6828', '5230', 'TB']","[19.86, 9.0, 5.6, 24.9, 18.4, 0.0, 3.4, 0.0, 7.0]",5
60,,1,"['BUF', '8205', '8154', '8139', '7526', '5906', '5846', '5086', '4234', '4046', '3214', '3198', '3164', '24', '1264']","{'BUF': 13.0, '8205': 0.0, '8154': 2.2, '8139': -0.7, '7526': 3.8, '5906': 0.0, '5846': 14.3, '5086': 12.0, '4234': 1.0, '4046': 30.48, '3214': 7.4, '3198': 26.2, '3164': 7.8, '24': 6.14, '1264': 16.0}",123.58,5,"['4046', '3198', '3164', '7526', '5846', '5906', '5086', '1264', 'BUF']","[30.48, 26.2, 7.8, 3.8, 14.3, 0.0, 12.0, 16.0, 13.0]",5
61,,1,"['DEN', '8144', '7528', '6951', '6847', '5892', '4881', '4036', '3199', '2216', '1825', '1535', '1433', '1339']","{'DEN': 17.0, '8144': 13.4, '7528': 5.1, '6951': 12.8, '6847': 10.3, '5892': 16.2, '4881': 15.76, '4036': 4.8, '3199': 0.0, '2216': 10.1, '1825': 0.0, '1535': 0.0, '1433': 10.0, '1339': 7.8}",105.66,6,"['4881', '7528', '5892', '2216', '8144', '1339', '6847', '1433', 'DEN']","[15.76, 5.1, 16.2, 10.1, 13.4, 7.8, 10.3, 10.0, 17.0]",5
62,,3,"['NO', '956', '8168', '8167', '8136', '7610', '7596', '6819', '6151', '5848', '5045', '4666', '4035', '2028', '1466']","{'NO': 6.0, '956': 3.6, '8168': 2.5, '8167': 0.3, '8136': 5.7, '7610': 0.0, '7596': 1.6, '6819': 8.4, '6151': 7.4, '5848': 17.8, '5045': 9.9, '4666': 0.0, '4035': 19.4, '2028': 17.94, '1466': 30.0}",116.84,7,"['2028', '4035', '6151', '6819', '5045', '1466', '5848', '4666', 'NO']","[17.94, 19.4, 7.4, 8.4, 9.9, 30.0, 17.8, 0.0, 6.0]",5
63,,5,"['PHI', '947', '7588', '6797', '6794', '6783', '6768', '5916', '5185', '5000', '4958', '4089', '4037', '3294', '2320']","{'PHI': 4.0, '947': 0.0, '7588': 0.0, '6797': 14.42, '6794': 24.32, '6783': 6.8, '6768': 0.0, '5916': 5.0, '5185': 11.5, '5000': 0.1, '4958': 11.0, '4089': 0.7, '4037': 9.3, '3294': 0.0, '2320': 11.8}",82.44,8,"['6797', '2320', '5000', '6794', '6783', '4089', '4037', '4958', 'PHI']","[14.42, 11.8, 0.1, 24.32, 6.8, 0.7, 9.3, 11.0, 4.0]",5
