,player_id,player_display_name,position,season,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,fantasy_points_ppr,interceptions,sack_fumbles,sack_fumbles_lost,rushing_fumbles,rushing_fumbles_lost,receiving_fumbles,receiving_fumbles_lost,passing_yards,passing_tds,passing_2pt_conversions,receiving_2pt_conversions,gsis_id,sleeper_id
134,00-0033288,George Kittle,TE,22242,0,0.0,0,0.0,0,42,59,500.0,4,340.0,251.0,24.0,18.490775177601247,114.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0,0,0,00-0033288,4217
135,00-0033292,Trent Taylor,WR,12132,4,15.0,0,0.0,0,6,10,62.0,0,45.0,43.0,1.0,-0.3390488504928677,13.700000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033292,4218
136,00-0033293,Aaron Jones,RB,26286,164,847.0,2,43.0,0,48,58,328.0,4,-11.0,353.0,16.0,3.3886344944078752,201.5,0.0,0,0,2.0,0.0,1.0,1.0,0.0,0,0,1,00-0033293,4199
137,00-0033307,Kendrick Bourne,WR,24264,4,8.0,0,1.0,0,24,31,273.0,0,263.0,102.0,13.0,3.2777609765868867,52.1,0.0,0,0,0.0,0.0,2.0,0.0,0.0,0,0,0,00-0033307,4454
138,00-0033308,Matt Breida,RB,26286,37,118.0,1,9.0,0,11,15,92.0,0,46.0,71.0,4.0,2.6587877178175265,38.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033308,4455
139,00-0033319,Nick Mullens,QB,4044,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.04,0.0,0,0,0.0,0.0,0.0,0.0,51.0,0,0,0,00-0033319,4464
140,00-0033357,Taysom Hill,TE,24264,61,419.0,5,23.0,0,7,11,66.0,2,78.0,23.0,4.0,2.8404014604419396,106.94,0.0,0,0,0.0,0.0,0.0,0.0,136.0,1,0,0,00-0033357,4381
141,00-0033367,C.J. Board,WR,2022,0,0.0,0,0.0,0,1,1,6.0,0,6.0,0.0,0.0,0.20860908593749627,1.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033367,4344
142,00-0033376,Patrick Ricard,FB,22242,6,16.0,0,5.0,0,11,13,74.0,0,2.0,72.0,1.0,-4.760953707753415,20.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033376,4353
143,00-0033386,Cody Hollister,WR,8088,0,0.0,0,0.0,0,3,5,54.0,0,78.0,8.0,2.0,-4.383588089811383,8.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033386,4420
144,00-0033439,Pharaoh Brown,TE,14154,0,0.0,0,0.0,0,12,20,117.0,0,128.0,83.0,6.0,-2.4887456162299766,23.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033439,4443
