added_player_name,creator,faab_spent,points_as_starter,created,drops_named,points_as_starter_by_week,weeks_started,leg
Cameron Dicker,carlogesualdo,0,41.0,"[1667667143118, 1668977666305]","[{'Sony Michel': 'carlogesualdo'}, {'Brett Maher': 'carlogesualdo'}]","[8.0, 10.0, 5.0, 7.0, 11.0]","[9, 11, 12, 13, 14]","[9, 11]"
Dustin Hopkins,mattlatham,0,39.0,[1662339728076],[None],"[6.0, 6.0, 4.0, 10.0, 0.0, 13.0]","[1, 2, 3, 4, 5, 6]",[1]
Evan Engram,mattlatham,0,38.599999999999994,[1665179100215],[{'Taysom Hill': 'mattlatham'}],"[9.9, 6.5, 8.7, 13.5]","[5, 6, 7, 8]",[5]
Latavius Murray,petenotpetey,12,38.2,"[1664935890130, 1668736030265]","[{'Mecole Hardman': 'petenotpetey'}, None]","[15.2, 10.3, 8.1, 4.6]","[11, 12, 13, 14]","[4, 11]"
Samaje Perine,carlogesualdo,0,35.8,[1669135976259],"[{""Wan'Dale Robinson"": 'carlogesualdo'}]","[17.3, 18.5]","[12, 13]",[11]
Cleveland Browns,llatham65,0,35.0,[1669863565082],[{'Miami Dolphins': 'llatham65'}],"[31.0, 4.0]","[13, 14]",[13]
Antonio Gibson,carlogesualdo,65,34.7,[1666888984455],[{'Sony Michel': 'carlogesualdo'}],"[17.2, 5.7, 11.8]","[8, 9, 11]",[8]
Washington Commanders,niclath95,0,34.0,[1668630845699],[{'Jason Sanders': 'niclath95'}],"[19.0, 7.0, 8.0]","[11, 12, 13]",[11]
Brandon McManus,jakesmyth,0,33.0,[1668730268244],[{'Ryan Succop': 'jakesmyth'}],"[13.0, 3.0, 13.0, 4.0]","[11, 12, 13, 14]",[11]
Michael Carter,alexludtke,20,30.5,[1666660260609],[None],"[8.1, 15.1, 2.2, 4.6, 0.5]","[8, 9, 11, 12, 14]",[7]
Cam Akers,jakesmyth,0,30.0,[1669091907942],[{'Chase Edmonds': 'jakesmyth'}],"[3.7, 18.5, 7.8]","[12, 13, 14]",[11]
Miami Dolphins,mattlatham,0,29.0,[1666182240230],[{'Chicago Bears': 'mattlatham'}],"[12.0, 1.0, 9.0, 7.0]","[7, 8, 9, 10]",[7]
